#T(K),Exp_mole_fraction,sigma
929.483282674772,0.000609189189189,5.78378378378378E-05
960.030395136778,0.000609189189189,6.16216216216216E-05
989.665653495441,0.000574594594595,5.7837837837838E-05
1020.36474164134,0.000533513513514,5.24324324324325E-05
1049.08814589666,0.000467027027027,4.48648648648648E-05
1079.48328267477,0.000378378378378,3.72972972972971E-05
1110.03039513678,0.000257297297297,2.64864864864863E-05
1141.48936170213,9.24324324324325E-05,1.94594594594594E-05
1172.18844984802,9.18918918918932E-06,1.56756756756755E-05
